company,year,energy_consumption,female_employees,ghg_scope_1,ghg_scope_2,living_wage_policy,modern_slavery_statement,total_waste_generated,total_waste_recycled,water_withdrawals,total_employees,supplier_list,supplied_by,address
Aditya Birla Fashion & Retail Ltd,2022,450000,15632,1926,39300,No Living Wage Policy,,3736,1814,198784,25000,,,
Aditya Birla Fashion & Retail Ltd,2023,651,,,,,,5555,,,,,,
Aditya Birla Sun Life Amc Ltd. (Investment Management),2020,,,,,,No - neither,,,,,,,
Al Mehwar Commercial Investments LLC,2021,,,,,,No - neither,,,,,,,
Alecta Pensionsforsakring,2020,,,,,,No - neither,,,,,,,
Alken Asset Management Ltd.,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Allianz Global Investors Asia Pacific Ltd.,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Allianz Global Investors GmbH,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Alpargatas - Havaianas,2015,,,,,,,,,,,,,
Alpargatas - Havaianas,2016,,,,,,,,,,,,,
Alpargatas - Havaianas,2017,,,,,,,,,,,,,
Alpargatas - Havaianas,2018,,,,,,,,,,,,,
Alpargatas - Havaianas,2019,,,,,No Living Wage Policy,,,,,,,,
American Century Companies Inc,2020,,,,,,No - neither,,,,,,,
American Eagle Outfitters,2014,,,,,,,,,,,,,
American Eagle Outfitters,2015,,,,90000,,,,,,,,,
American Eagle Outfitters,2016,,,,82000,,,,,,,,,
American Eagle Outfitters,2017,,,,,,,,,,,,,
American Eagle Outfitters,2018,663032.7,31500,9953,70234,No Living Wage Policy,,,8,,45000,,,
American Eagle Outfitters,2019,837463.086,,9537,53027,No Living Wage Policy,,,,,,,,
American Eagle Outfitters,2021,543095.45,110272,9248,40231,Living Wage mentioned,,,,,,,,77 HOT METAL STREET PITTSBURGH 15203
American Eagle Outfitters,2022,743654.5488,32232,12343,45476,Living Wage mentioned,,29000,,,40800,,1,
American International Group,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Ameriprise Financial,2020,,,,,,No - neither,,,,,,,
Amundi,2017,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Amundi,2019,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Amundi,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Amundi,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Amundi,2023,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Amundi,2024,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Amundi SGR SpA,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Anatole Investment Management Ltd.,2020,,,,,,No - neither,,,,,,,
Ancora Advisors LLC,2020,,,,,,No - neither,,,,,,,
Anta Sports Products,2016,,,12327,53286,,,,,,,,,
Anta Sports Products,2017,,,14560,53091,,,,,,,,,
Anta Sports Products,2018,,16000,7019,77283,No Living Wage Policy,,2313.7728,,1677971,25000,,,
Anta Sports Products,2019,658691.80531,21067,15298,88358,No Living Wage Policy,,2463.528,,1912097,,,,
Anta Sports Products,2020,662819,29930,,,,,2377,3272.96,,,No,,
Anta Sports Products,2022,1215730.8,44309,4820,178794,,,1255.4,,,59000,,,
Anta Sports Products,2023,1327572,45496,8525,191654,Living Wage mentioned,,11940.1,,1517270,,,,
Antipodes Partners Ltd.,2020,,,,,,No - neither,,,,,,,
Arca Fondi SGR SpA,2020,,,,,,No - neither,,,,,,,
Argenta Banque d'Epargne SA,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
ArrowMark Colorado Holdings LLC,2020,,,,,,No - neither,,,,,,,
