Company,Year,Energy_Consumption,Female_Employees,GHG_Scope_1,GHG_Scope_2,Living_Wage_Policy,Modern_Slavery_Statement,Total_Waste_Generated,Total_Waste_Recycled,Water_Withdrawals,Total_Employees,Supplier_List,Supplied_By,Address
Adage Capital Management LP,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2002,NA,6475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2003,NA,7059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2004,NA,6398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2005,NA,7489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2007,NA,15045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2008,NA,19101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2009,NA,19798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2010,NA,20420,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
Adidas AG,2011,NA,23412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2012,NA,23153,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
Adidas AG,2013,NA,24856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2014,NA,26865,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
Adidas AG,2015,747108,27777,54108,NA,NA,NA,NA,NA,207530,55555,NA,NA,NA
Adidas AG,2016,748962,30308,52548,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,16,NA
Adidas AG,2017,682643,28444,11702,48815,NA,NA,NA,NA,NA,56888,NA,NA,NA
"Adidas AG,2018,256377,27938,12379,55266,No Living Wage Policy,Yes - UK Modern Slavery Act,72.38,48.25,297665,,""Yes, Tier 1 only"",789,""Adi-Dassler-Strasse 1, 91074 Herzogenaurach, Germany""",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
